bank,hospital,house,school,supermarket
5.0,4.0,0.0,8.0,0.0
5.0,1.0,3.0,6.0,0.0
5.0,1.0,4.0,4.0,1.0
6.0,0.0,5.0,11.0,0.0
10.0,0.0,8.0,11.0,3.0
5.0,1.0,5.0,5.0,0.0
12.0,5.0,33.0,15.0,16.0
19.0,5.0,46.0,11.0,17.0
10.0,1.0,15.0,2.0,1.0
16.0,4.0,234.0,64.0,24.0
17.0,3.0,186.0,67.0,24.0
22.0,10.0,183.0,43.0,30.0
5.0,4.0,1.0,6.0,0.0
6.0,4.0,0.0,10.0,0.0
5.0,2.0,3.0,6.0,1.0
5.0,2.0,4.0,6.0,1.0
9.0,7.0,10.0,15.0,4.0
6.0,1.0,6.0,5.0,4.0
6.0,2.0,15.0,11.0,8.0
5.0,2.0,26.0,8.0,8.0
8.0,7.0,28.0,20.0,7.0
13.0,5.0,74.0,25.0,3.0
7.0,2.0,28.0,13.0,3.0
9.0,2.0,30.0,17.0,4.0
7.0,3.0,35.0,17.0,10.0
10.0,3.0,75.0,15.0,4.0
28.0,13.0,225.0,59.0,9.0
32.0,13.0,219.0,57.0,11.0
49.0,9.0,344.0,97.0,55.0
19.0,3.0,199.0,64.0,29.0
5.0,2.0,4.0,4.0,1.0
6.0,4.0,2.0,6.0,1.0
7.0,7.0,12.0,8.0,4.0
5.0,5.0,5.0,8.0,2.0
9.0,9.0,34.0,20.0,2.0
52.0,14.0,155.0,72.0,15.0
31.0,6.0,110.0,32.0,8.0
12.0,4.0,44.0,18.0,10.0
18.0,4.0,82.0,38.0,15.0
16.0,6.0,92.0,35.0,18.0
34.0,3.0,204.0,58.0,16.0
52.0,13.0,221.0,78.0,25.0
73.0,8.0,193.0,58.0,20.0
36.0,3.0,97.0,41.0,7.0
5.0,2.0,40.0,19.0,4.0
6.0,5.0,30.0,12.0,1.0
8.0,1.0,31.0,15.0,6.0
10.0,2.0,33.0,20.0,8.0
25.0,5.0,63.0,20.0,6.0
71.0,28.0,378.0,85.0,20.0
95.0,21.0,322.0,72.0,43.0
16.0,1.0,16.0,3.0,8.0
13.0,9.0,102.0,29.0,4.0
29.0,8.0,151.0,39.0,5.0
27.0,6.0,135.0,32.0,28.0
49.0,9.0,276.0,76.0,48.0
13.0,3.0,103.0,29.0,16.0
5.0,2.0,0.0,17.0,3.0
5.0,2.0,0.0,17.0,3.0
5.0,2.0,6.0,5.0,1.0
5.0,2.0,5.0,5.0,1.0
5.0,2.0,5.0,5.0,2.0
13.0,7.0,36.0,28.0,3.0
74.0,23.0,258.0,105.0,16.0
48.0,8.0,137.0,54.0,7.0
9.0,1.0,10.0,19.0,3.0
7.0,1.0,12.0,15.0,3.0
5.0,2.0,15.0,9.0,3.0
7.0,3.0,28.0,16.0,5.0
7.0,4.0,28.0,19.0,4.0
15.0,6.0,88.0,39.0,11.0
25.0,6.0,148.0,45.0,19.0
36.0,9.0,195.0,59.0,32.0
77.0,21.0,331.0,110.0,41.0
91.0,12.0,331.0,77.0,24.0
19.0,10.0,133.0,47.0,4.0
5.0,4.0,54.0,17.0,2.0
17.0,5.0,81.0,25.0,7.0
5.0,3.0,39.0,18.0,3.0
24.0,8.0,65.0,27.0,4.0
100.0,27.0,472.0,110.0,24.0
138.0,19.0,356.0,76.0,32.0
70.0,3.0,65.0,34.0,11.0
28.0,8.0,113.0,26.0,10.0
19.0,7.0,85.0,20.0,3.0
90.0,9.0,178.0,31.0,8.0
115.0,21.0,363.0,65.0,13.0
155.0,26.0,533.0,90.0,22.0
99.0,31.0,401.0,67.0,18.0
9.0,2.0,21.0,1.0,6.0
10.0,2.0,34.0,6.0,6.0
7.0,3.0,42.0,23.0,1.0
10.0,0.0,35.0,13.0,2.0
11.0,2.0,25.0,22.0,5.0
9.0,2.0,23.0,19.0,3.0
5.0,2.0,3.0,3.0,1.0
5.0,2.0,11.0,7.0,4.0
6.0,2.0,16.0,11.0,7.0
5.0,7.0,34.0,13.0,3.0
6.0,7.0,68.0,16.0,4.0
32.0,10.0,169.0,53.0,13.0
32.0,11.0,161.0,37.0,12.0
18.0,6.0,104.0,37.0,17.0
16.0,7.0,88.0,43.0,17.0
32.0,5.0,49.0,23.0,4.0
48.0,14.0,167.0,48.0,11.0
49.0,25.0,314.0,73.0,13.0
