bank,lat,lng
25.0,22.525,113.337
36.0,22.525,113.357
77.0,22.525,113.377
91.0,22.525,113.397
19.0,22.525,113.417
5.0,22.525,113.437
17.0,22.525,113.457
5.0,22.525,113.477
24.0,22.525,113.897
100.0,22.525,113.917
138.0,22.525,113.937
70.0,22.525,113.957
28.0,22.525,113.977
19.0,22.525,113.997
90.0,22.525,114.017
115.0,22.525,114.037
155.0,22.525,114.057
99.0,22.525,114.077
9.0,22.525,114.117
10.0,22.525,114.137
7.0,22.545,113.037
10.0,22.545,113.057
11.0,22.545,113.07700000000001
9.0,22.545,113.09700000000001
5.0,22.545,113.117
5.0,22.545,113.23700000000001
6.0,22.545,113.257
5.0,22.545,113.337
6.0,22.545,113.35700000000001
32.0,22.545,113.37700000000001
32.0,22.545,113.397
18.0,22.545,113.45700000000001
16.0,22.545,113.477
32.0,22.545,113.87700000000001
48.0,22.545,113.897
49.0,22.545,113.917
79.0,22.545,113.93700000000001
81.0,22.545,113.95700000000001
36.0,22.545,113.977
28.0,22.545,113.99700000000001
91.0,22.545,114.01700000000001
147.0,22.545,114.037
167.0,22.545,114.057
163.0,22.545,114.07700000000001
181.0,22.545,114.09700000000001
167.0,22.545,114.117
79.0,22.545,114.137
20.0,22.545,114.237
27.0,22.565,113.077
27.0,22.565,113.097
12.0,22.565,113.117
6.0,22.565,113.137
5.0,22.565,113.237
10.0,22.565,113.337
8.0,22.565,113.357
10.0,22.565,113.377
8.0,22.565,113.397
11.0,22.565,113.477
9.0,22.565,113.497
28.0,22.565,113.857
75.0,22.565,113.877
83.0,22.565,113.897
37.0,22.565,113.917
13.0,22.565,113.937
20.0,22.565,113.957
9.0,22.565,113.977
6.0,22.565,114.017
35.0,22.565,114.037
39.0,22.565,114.057
26.0,22.565,114.077
63.0,22.565,114.097
84.0,22.565,114.117
58.0,22.565,114.137
17.0,22.565,114.15700000000001
10.0,22.565,114.177
18.0,22.565,114.23700000000001
8.0,22.585,110.137
12.0,22.585,110.157
5.0,22.585,112.87700000000001
5.0,22.585,112.897
9.0,22.585,113.057
67.0,22.585,113.07700000000001
67.0,22.585,113.09700000000001
13.0,22.585,113.117
11.0,22.585,113.137
11.0,22.585,113.15700000000001
7.0,22.585,113.21700000000001
6.0,22.585,113.23700000000001
6.0,22.585,113.31700000000001
5.0,22.585,113.337
15.0,22.585,113.37700000000001
11.0,22.585,113.397
27.0,22.585,113.85700000000001
41.0,22.585,113.87700000000001
36.0,22.585,113.897
10.0,22.585,113.917
10.0,22.585,113.93700000000001
15.0,22.585,113.95700000000001
6.0,22.585,113.977
6.0,22.585,113.99700000000001
10.0,22.585,114.057
34.0,22.585,114.117
32.0,22.585,114.137
8.0,22.585,114.257
7.0,22.585,114.477
19.0,22.605,110.137
31.0,22.605,110.15700000000001
20.0,22.605,110.177
8.0,22.605,112.997
8.0,22.605,113.017
7.0,22.605,113.037
19.0,22.605,113.057
60.0,22.605,113.077
67.0,22.605,113.097
16.0,22.605,113.117
9.0,22.605,113.137
9.0,22.605,113.157
26.0,22.605,113.177
25.0,22.605,113.197
9.0,22.605,113.237
10.0,22.605,113.257
5.0,22.605,113.277
10.0,22.605,113.297
6.0,22.605,113.317
12.0,22.605,113.857
14.0,22.605,113.877
5.0,22.605,113.977
5.0,22.605,113.997
6.0,22.605,114.017
22.0,22.605,114.037
17.0,22.605,114.057
33.0,22.605,114.117
39.0,22.605,114.137
15.0,22.605,114.15700000000001
6.0,22.605,114.257
7.0,22.605,114.477
5.0,22.625,110.117
48.0,22.625,110.137
75.0,22.625,110.157
41.0,22.625,110.177
7.0,22.625,113.057
31.0,22.625,113.07700000000001
22.0,22.625,113.09700000000001
8.0,22.625,113.117
6.0,22.625,113.137
13.0,22.625,113.177
26.0,22.625,113.197
5.0,22.625,113.21700000000001
8.0,22.625,113.23700000000001
10.0,22.625,113.257
15.0,22.625,113.277
14.0,22.625,113.29700000000001
10.0,22.625,113.477
11.0,22.625,113.49700000000001
13.0,22.625,113.85700000000001
8.0,22.625,113.87700000000001
28.0,22.625,114.01700000000001
47.0,22.625,114.037
18.0,22.625,114.057
14.0,22.625,114.07700000000001
7.0,22.625,114.09700000000001
12.0,22.625,114.117
18.0,22.625,114.137
6.0,22.625,114.157
8.0,22.625,114.197
12.0,22.625,114.417
11.0,22.625,114.437
28.0,22.645,110.137
49.0,22.645,110.15700000000001
36.0,22.645,110.177
9.0,22.645,110.197
7.0,22.645,113.077
5.0,22.645,113.117
13.0,22.645,113.137
