lat,lng,bank,house
22.078000000000003,110.79700000000001,8,
22.078000000000003,111.23700000000001,6,
22.078000000000003,111.257,6,
22.078000000000003,111.51700000000001,5,
22.078000000000003,112.837,6,
22.078000000000003,112.85700000000001,5,
22.078000000000003,112.93700000000001,5,
22.078000000000003,112.95700000000001,7,
22.078000000000003,113.37700000000001,9,
22.078000000000003,113.397,11,
22.098000000000003,110.87700000000001,6,
22.098000000000003,110.897,6,
22.098000000000003,111.23700000000001,6,
22.098000000000003,111.257,6,
22.098000000000003,113.197,16,
22.098000000000003,113.277,5,
22.098000000000003,113.29700000000001,11,
22.098000000000003,113.537,5,
22.118000000000002,112.81700000000001,7,
22.118000000000002,113.197,15,
22.118000000000002,113.537,14,
22.118000000000002,113.557,19,
22.138,110.977,5,
22.138,112.81700000000001,7,
22.138,112.837,6,
22.138,113.197,7,
22.138,113.337,22,
22.138,113.35700000000001,31,
22.138,113.557,8,
22.158,110.677,5,
22.158,111.777,6,
22.158,111.79700000000001,57,
22.158,111.81700000000001,16,
22.158,113.177,11,
22.158,113.197,7,
22.158,113.21700000000001,9,
22.158,113.23700000000001,9,
22.158,113.277,22,
22.158,113.29700000000001,9,
22.158,113.35700000000001,22,
22.158,113.37700000000001,13,
22.158,113.537,19,
22.178,111.777,39,
22.178,111.79700000000001,82,
22.178,111.81700000000001,29,
22.178,112.29700000000001,9,
22.178,112.31700000000001,40,
22.178,112.337,17,
22.178,113.23700000000001,9,
22.178,113.277,33,
22.178,113.29700000000001,24,
22.178,113.31700000000001,6,
22.178,113.49700000000001,10,
22.178,113.51700000000001,9,
22.198,110.87700000000001,13,
22.198,110.897,13,
22.198,111.777,11,
22.198,111.79700000000001,14,
22.198,112.29700000000001,6,
22.198,112.31700000000001,49,
22.198,112.337,33,
22.198,113.29700000000001,37,
22.198,113.31700000000001,40,
22.198,113.337,12,
22.198,113.45700000000001,7,
22.198,113.537,14,
22.218000000000004,110.617,5,
22.218000000000004,110.87700000000001,6,
22.218000000000004,112.85700000000001,7,
22.218000000000004,112.87700000000001,7,
22.218000000000004,113.177,7,
22.218000000000004,113.197,7,
22.218000000000004,113.29700000000001,67,
22.218000000000004,113.31700000000001,72,
22.218000000000004,113.337,6,
22.218000000000004,113.477,22,
22.218000000000004,113.49700000000001,37,
22.218000000000004,113.51700000000001,52,
22.218000000000004,113.537,75,
22.218000000000004,113.57700000000001,55,
22.238000000000003,110.617,5,
22.238000000000003,110.697,5,
22.238000000000003,110.71700000000001,5,
22.238000000000003,112.79700000000001,33,
22.238000000000003,112.81700000000001,44,
22.238000000000003,113.197,13,
22.238000000000003,113.21700000000001,7,
22.238000000000003,113.29700000000001,12,
22.238000000000003,113.31700000000001,10,
22.238000000000003,113.49700000000001,41,
22.238000000000003,113.51700000000001,90,
22.238000000000003,113.537,135,
22.238000000000003,113.557,209,
22.238000000000003,113.57700000000001,113,
22.238000000000003,113.59700000000001,34,
22.258000000000003,110.537,7,
22.258000000000003,110.557,7,
22.258000000000003,110.71700000000001,5,
22.258000000000003,112.59700000000001,6,
22.258000000000003,112.617,6,
22.258000000000003,112.777,31,
22.258000000000003,112.79700000000001,109,
22.258000000000003,112.81700000000001,64,
22.258000000000003,113.337,10,
22.258000000000003,113.45700000000001,12,
22.258000000000003,113.477,40,
22.258000000000003,113.49700000000001,30,
22.258000000000003,113.51700000000001,10,
22.258000000000003,113.537,133,
22.258000000000003,113.557,81,
22.258000000000003,113.57700000000001,132,
22.258000000000003,113.59700000000001,103,
22.278000000000002,110.537,5,
22.278000000000002,112.777,16,
22.278000000000002,112.79700000000001,28,
22.278000000000002,113.45700000000001,14,
22.278000000000002,113.477,48,
22.278000000000002,113.49700000000001,25,
22.278000000000002,113.51700000000001,85,
22.278000000000002,113.537,125,
22.278000000000002,113.557,155,
22.278000000000002,113.57700000000001,185,
22.278000000000002,113.59700000000001,62,
22.278000000000002,114.177,6,
22.298000000000002,111.87700000000001,5,
